mean,max,min
22.4,36,19
21.8,35,18
22.0,35,18
22.0,36,18
21.8,35,18
22.6,36,19
22.0,36,18
22.0,35,18
21.6,31,19
22.8,36,19
22.4,35,18
20.8,27,19
21.2,26,19
21.2,24,20
15.0,16,14
21.6,24,17
18.8,22,17
21.2,26,9
17.6,27,11
15.8,23,9
18.8,29,8
16.2,22,8
7.4,9,6
8.4,9,8
34.8,69,16
29.0,40,9
13.6,29,7
8.6,12,7
25.4,33,12
23.4,43,12
38.6,55,26
45.6,68,21
20.8,34,12
54.8,70,45
51.8,101,27
26.0,41,19
40.6,87,24
20.4,29,14
39.8,76,15
36.4,53,21
28.2,38,13
30.6,41,15
34.0,47,28
44.6,68,15
31.8,38,25
53.6,111,30
25.2,33,9
26.4,31,14
47.6,95,17
76.6,104,39
42.0,74,20
39.0,66,12
69.2,165,12
69.2,110,36
78.6,112,37
15.4,21,11
105.6,207,33
83.6,112,14
83.6,112,13
56.0,96,22
54.2,108,10
71.2,112,20
81.2,112,37
38.4,103,10
64.6,112,15
71.6,113,20
102.2,154,37
117.2,196,38
72.0,109,21
91.2,112,38
111.8,161,38
126.6,263,36
121.0,221,41
102.6,179,40
146.2,234,39
165.0,267,78
196.6,295,36
214.2,278,83
197.2,276,40
217.6,307,41
167.2,273,39
145.0,260,39
186.4,275,46
177.8,255,128
219.2,279,79
170.0,275,73
259.6,297,229
198.8,285,38
203.8,281,129
238.6,288,107
246.2,297,137
207.0,266,114
195.0,279,113
226.2,293,91
217.0,283,122
251.2,283,213
204.8,273,112
205.2,282,121
217.0,271,126
185.8,266,108
193.4,283,119
236.0,302,133
179.2,288,85
241.2,303,152
196.6,272,138
219.8,282,141
221.2,291,121
186.8,271,108
199.8,271,142
233.2,283,111
209.4,266,113
214.6,283,114
191.2,281,118
268.2,301,233
276.6,294,255
155.4,254,109
241.0,283,114
247.6,293,152
193.0,267,113
170.2,268,98
158.6,283,114
202.6,282,107
213.4,283,114
230.4,290,40
199.2,267,122
231.0,282,120
277.0,301,251
214.8,282,130
165.2,294,23
187.4,283,113
225.0,281,88
192.6,269,132
230.8,283,116
153.2,270,102
243.4,300,124
254.0,303,156
242.0,298,100
245.8,285,150
273.4,288,241
155.4,282,111
212.6,267,135
217.4,283,121
214.6,283,112
232.8,283,120
274.0,293,249
240.4,284,113
250.4,296,155
191.8,283,118
280.2,303,259
279.8,301,261
259.6,303,217
206.8,283,103
279.0,302,250
216.0,307,135
282.0,306,259
237.0,303,37
280.4,303,255
250.4,306,111
203.0,283,109
241.0,291,100
252.0,303,152
189.0,286,121
253.2,293,140
278.0,293,261
216.0,268,120
207.2,270,110
176.8,282,107
163.6,283,119
246.8,298,143
249.8,293,153
244.8,306,152
248.4,304,153
274.4,286,254
237.2,290,166
280.2,307,258
234.4,282,164
240.2,289,119
270.4,303,248
247.6,287,165
217.4,280,119
226.4,306,116
240.6,293,67
280.0,307,258
240.8,306,133
188.6,261,118
189.6,281,113
159.6,267,111
188.2,281,119
231.8,281,115
282.2,306,260
218.2,293,117
268.4,303,234
188.0,269,121
214.8,282,119
230.6,283,113
181.8,270,134
255.0,306,167
280.4,305,250
255.6,304,135
193.8,279,134
215.4,283,115
181.4,282,104
241.0,307,111
253.2,307,147
243.4,291,114
231.0,301,161
282.6,307,261
252.0,306,117
282.6,307,260
249.6,307,146
279.8,296,261
282.0,307,257
276.2,292,247
252.6,307,169
254.2,304,143
248.0,290,141
170.8,292,50
279.8,305,261
282.2,307,261
213.4,294,111
241.0,296,98
248.2,295,113
256.2,303,167
282.6,307,260
281.4,302,261
213.0,306,101
282.6,307,261
252.0,307,116
248.2,294,134
246.0,294,125
271.6,306,241
243.6,294,112
256.6,307,165
265.8,292,235
281.4,306,259
218.6,294,113
269.4,306,197
175.4,279,106
189.0,283,115
282.6,307,259
280.6,303,260
279.0,294,258
212.6,296,113
227.0,307,116
212.8,294,115
251.6,307,114
243.0,292,120
238.6,307,119
254.4,306,144
281.8,307,259
252.2,307,116
282.8,307,261
279.8,294,261
177.2,283,113
215.4,281,112
220.2,289,113
243.4,292,114
248.6,294,115
250.8,307,116
282.0,307,258
281.6,307,256
247.2,294,116
225.2,307,114
248.2,306,90
282.6,307,261
215.6,294,115
282.4,306,259
279.8,294,260
215.4,283,115
282.2,306,261
249.4,295,115
282.8,307,261
251.8,307,115
251.8,306,116
243.8,294,114
226.8,307,113
250.4,306,116
251.4,306,114
281.6,304,261
250.8,307,117
254.8,306,155
281.6,307,254
279.0,294,259
282.6,306,261
251.2,307,115
215.4,283,115
282.2,307,261
243.4,293,114
255.8,307,150
257.6,307,169
256.0,307,135
222.4,307,112
282.8,306,261
255.0,307,155
282.6,307,261
282.4,307,258
251.2,306,112
282.2,307,259
280.0,295,261
263.6,307,186
265.4,306,208
250.8,296,120
282.8,307,261
227.8,307,148
212.8,294,113
255.4,307,157
250.8,307,110
282.2,307,260
252.0,307,115
189.6,306,83
271.0,302,244
272.2,307,240
253.4,307,153
252.0,307,116
253.8,307,154
255.0,306,151
250.0,297,164
257.2,306,166
222.8,295,116
282.6,306,261
282.0,307,261
225.2,296,16
282.6,307,261
253.2,296,147
253.2,295,150
280.6,307,260
249.4,296,113
227.2,294,115
221.2,306,114
282.0,306,261
274.8,307,254
281.8,307,261
282.6,307,260
212.0,292,113
248.0,295,115
278.4,293,261
242.2,294,116
230.2,293,44
224.4,306,116
280.6,307,258
214.2,307,116
223.0,300,114
276.2,294,257
255.8,306,149
282.8,307,261
271.0,307,231
229.8,293,114
281.8,307,259
184.8,296,111
248.8,307,114
237.6,269,148
279.8,300,259
281.8,307,261
226.4,306,114
250.2,307,111
188.8,285,115
270.0,291,245
257.6,307,134
277.8,294,261
226.8,306,121
280.6,306,252
246.4,291,116
274.0,299,252
280.0,307,260
273.0,305,246
281.6,307,261
246.4,289,115
254.2,306,151
179.6,280,99
178.2,262,107
254.8,307,153
186.6,293,111
281.0,306,261
254.4,305,156
211.6,296,108
223.8,307,116
244.2,293,113
277.6,306,261
250.8,307,113
277.4,288,261
274.4,290,259
255.4,307,157
210.8,290,113
273.4,307,246
218.0,307,111
254.0,304,155
277.2,306,246
279.2,294,256
278.2,307,247
196.0,307,114
247.0,294,149
280.4,306,257
281.6,303,261
152.4,307,66
282.4,307,259
223.8,306,114
243.6,294,112
251.2,293,146
281.6,304,258
279.4,303,255
251.2,304,114
244.0,283,156
224.0,306,115
281.8,306,256
247.0,295,113
276.6,288,261
240.8,294,98
224.2,307,114
244.2,306,113
235.4,307,156
276.6,305,260
221.6,282,133
223.6,291,20
278.6,307,254
250.2,307,114
214.2,283,113
282.4,306,259
252.0,307,115
280.6,296,261
263.0,282,245
272.6,307,245
185.0,283,112
223.2,305,115
208.4,294,92
237.4,285,114
247.2,305,113
226.0,307,114
212.0,292,111
248.4,295,113
249.6,305,114
184.0,274,113
251.6,305,115
259.6,304,197
152.6,294,62
282.6,307,260
245.8,307,109
279.8,307,260
249.8,307,113
282.2,307,260
229.0,307,133
255.2,307,149
215.2,301,115
282.8,307,261
281.0,307,257
282.4,306,261
248.8,294,155
251.2,306,112
279.4,306,252
248.2,307,113
276.4,307,244
254.4,307,132
243.0,294,113
252.0,307,116
245.6,295,111
213.2,294,113
274.8,291,257
249.2,294,115
281.8,307,259
255.2,307,155
279.4,294,259
281.8,307,261
200.6,283,111
255.8,307,158
250.2,307,113
214.4,283,114
282.6,307,260
217.6,307,114
223.4,307,113
282.8,307,260
247.2,307,114
248.6,294,114
250.8,294,147
281.6,307,254
282.0,307,259
225.8,307,109
279.4,307,260
238.2,294,117
218.2,291,113
212.0,293,113
250.2,307,115
245.4,307,111
282.6,307,261
280.6,307,252
279.2,307,257
172.0,279,97
237.4,302,113
282.2,307,261
282.2,307,261
273.0,293,255
283.0,307,261
250.8,307,110
250.8,307,109
282.4,307,261
251.2,307,114
282.0,306,261
218.0,293,113
243.0,307,116
220.6,307,111
181.0,269,113
251.0,306,113
245.2,307,150
251.2,307,116
256.0,307,149
251.8,307,114
236.6,307,156
252.6,307,148
282.8,307,261
238.2,307,114
281.8,307,261
282.8,307,261
249.6,307,113
249.0,307,113
205.4,307,36
251.0,307,115
243.4,307,85
282.4,307,261
241.2,294,100
282.6,307,261
205.4,307,31
279.8,307,261
248.2,283,156
234.2,282,114
251.8,307,114
243.8,293,114
247.8,306,114
278.0,304,261
251.6,307,116
201.4,283,87
276.8,294,261
250.4,307,148
201.6,283,112
224.0,307,116
251.4,307,116
281.8,307,261
283.0,307,261
248.8,295,114
245.2,306,113
180.8,279,100
276.0,296,257
270.8,304,239
249.0,307,109
246.6,294,116
283.0,307,261
281.0,303,258
212.8,294,113
272.2,306,245
212.0,307,99
281.2,307,256
282.0,302,261
194.0,307,115
248.8,305,114
212.4,307,97
201.0,279,99
221.0,295,117
283.0,307,261
218.4,294,110
281.0,307,261
257.8,305,161
215.2,264,141
236.0,307,26
256.6,307,135
251.0,304,115
249.0,307,111
232.2,307,116
246.2,289,114
240.0,306,110
211.6,293,111
244.4,293,113
243.0,289,121
280.6,307,261
247.6,307,117
256.4,307,153
208.2,307,25
276.0,295,252
270.6,307,243
213.6,295,111
223.6,305,115
227.6,306,125
266.2,307,211
281.8,306,261
175.4,260,113
246.2,307,115
279.4,305,261
282.6,306,261
241.0,292,110
222.2,303,116
281.4,307,259
243.0,293,111
254.2,306,151
248.6,307,114
277.2,307,257
188.6,291,112
281.6,306,256
216.2,290,111
241.0,294,112
209.2,283,100
251.4,307,113
251.2,307,116
228.2,307,116
212.2,289,113
245.6,292,115
271.0,301,241
173.8,261,99
277.0,307,247
223.4,306,115
237.0,307,84
256.4,305,132
240.2,305,100
274.8,293,261
211.2,294,99
211.8,293,113
221.4,294,115
280.4,301,260
251.8,307,114
182.8,282,113
237.4,300,98
256.0,307,149
245.4,296,113
175.8,294,49
219.8,307,123
196.2,288,110
219.0,294,113
241.0,297,115
250.6,305,115
249.6,292,133
277.8,306,252
251.8,307,115
242.4,307,95
216.8,307,114
245.2,293,111
192.2,306,111
250.2,292,158
258.8,307,163
196.6,297,115
246.4,307,115
279.4,307,253
244.6,303,114
223.8,307,114
202.0,282,110
265.6,295,245
223.6,294,113
224.4,297,26
249.4,307,114
231.6,297,23
224.6,300,115
203.0,295,90
251.6,301,149
202.2,281,115
238.0,282,97
195.4,307,76
222.6,293,120
275.6,303,258
244.0,294,114
250.2,307,116
204.0,283,96
187.4,272,114
169.6,266,113
275.8,304,257
247.6,297,113
274.6,297,258
233.6,280,115
226.2,304,115
205.4,282,112
186.4,291,111
194.2,273,121
183.2,291,111
241.2,284,115
241.4,307,99
222.0,293,114
181.6,281,23
209.8,307,111
121.4,146,98
149.4,283,100
207.8,294,114
249.2,296,113
205.0,260,102
255.6,292,164
219.6,299,114
221.8,307,116
249.8,307,154
250.0,299,115
281.2,307,261
245.6,306,114
218.2,295,117
238.8,285,108
187.0,301,95
251.6,307,114
213.0,294,113
157.2,281,102
170.6,283,95
174.0,277,99
259.4,307,177
191.8,294,112
256.2,306,186
246.8,307,115
247.4,297,108
278.8,307,256
205.0,290,116
223.0,307,115
248.4,307,157
171.4,306,111
281.8,306,256
267.8,296,250
265.6,293,242
247.2,293,116
227.0,307,98
279.2,306,260
244.8,306,113
278.8,307,258
241.4,291,111
246.0,302,112
282.2,307,259
211.8,307,85
211.8,292,108
246.2,306,138
247.0,295,112
240.8,292,110
200.4,285,115
250.2,307,116
249.6,304,113
182.0,283,103
234.0,303,113
237.2,306,119
224.8,307,115
226.2,307,115
201.2,291,20
254.6,306,154
211.4,296,113
243.6,307,112
253.0,307,115
267.8,306,244
265.4,283,244
281.4,307,258
246.6,306,113
275.0,302,244
240.6,292,112
250.4,306,109
232.6,283,91
247.4,306,113
280.6,307,257
242.6,307,123
256.2,302,146
245.4,292,113
271.6,289,257
243.4,294,114
282.6,307,261
221.0,305,129
201.0,271,96
183.2,283,112
282.0,306,261
249.2,305,113
257.2,307,133
202.4,282,97
281.0,307,261
251.0,294,147
279.4,306,261
243.2,293,112
267.6,300,192
254.0,292,191
271.4,307,247
281.4,307,260
201.8,283,112
247.8,307,111
277.8,302,261
154.8,282,36
178.8,282,111
240.6,300,116
235.6,282,97
195.6,291,110
223.8,307,116
247.2,306,109
213.8,307,94
271.0,306,252
279.6,307,261
273.0,307,244
276.4,307,261
276.4,307,247
242.0,306,111
216.4,306,114
224.6,307,99
197.2,307,40
243.2,291,113
242.4,307,124
251.0,307,155
280.4,307,260
186.4,307,98
234.2,293,92
251.8,307,114
282.0,307,260
281.0,307,261
