mean,max,min
22.4,36,19
21.8,35,18
22.2,36,18
22.0,36,18
21.8,35,18
22.6,36,19
22.0,36,18
22.2,36,18
21.4,30,19
21.8,35,18
22.2,35,18
20.8,25,19
20.8,23,20
21.4,23,21
21.4,25,19
19.8,27,17
12.6,15,11
11.4,13,10
17.2,48,8
14.0,25,9
10.4,20,5
5.4,6,4
21.4,35,12
15.4,22,8
22.0,30,16
16.4,18,15
6.4,12,4
7.4,9,6
17.2,21,14
20.8,28,14
21.2,40,14
16.8,30,10
29.8,43,17
13.4,20,10
22.6,37,16
21.4,27,16
14.8,32,7
18.4,20,16
22.0,34,18
17.0,18,14
20.8,28,17
22.8,34,19
18.8,20,17
22.8,34,20
19.8,22,17
18.0,20,16
11.8,14,10
19.8,27,16
18.6,21,14
18.8,20,17
16.6,18,15
16.8,20,12
18.6,20,17
21.6,28,20
21.2,27,19
19.6,28,14
22.0,32,19
23.2,34,19
22.0,31,19
22.6,34,19
23.0,35,19
23.2,34,20
23.0,34,20
23.0,35,19
23.2,35,19
23.4,35,19
22.6,34,19
23.4,32,20
23.4,36,20
22.8,33,20
23.2,35,20
23.2,34,19
22.4,35,15
22.2,34,19
23.4,35,19
23.6,34,20
27.2,49,19
23.0,36,18
24.2,36,20
26.8,47,20
25.0,35,22
24.0,36,20
23.8,36,20
25.0,36,21
24.2,35,21
24.8,36,21
24.4,36,21
24.4,37,21
25.2,34,21
21.4,24,16
24.8,35,22
25.2,33,22
30.0,48,22
22.2,25,17
24.6,37,19
25.2,36,21
26.0,37,22
27.2,36,24
26.6,36,24
24.8,33,20
26.2,37,23
27.4,37,23
25.2,36,21
25.8,37,21
27.0,37,22
23.0,27,14
26.4,37,21
25.6,35,22
27.6,36,23
26.6,36,21
27.8,36,22
28.0,37,23
27.2,36,24
27.6,36,24
27.2,38,23
28.8,36,26
50.8,94,24
28.2,36,25
27.8,38,23
33.0,52,21
28.8,35,26
43.6,109,23
29.2,37,26
46.0,108,26
28.0,38,23
49.0,88,33
56.4,110,20
43.6,101,25
43.0,96,26
68.4,107,24
91.0,153,39
84.0,131,36
73.2,108,36
83.0,110,38
94.8,113,39
94.6,117,36
108.6,245,24
71.4,114,28
85.2,110,39
84.8,109,37
51.2,77,34
127.0,277,39
125.4,255,39
121.6,246,39
89.8,113,36
122.4,250,40
127.2,262,38
123.4,258,37
135.8,279,40
125.0,270,39
177.6,272,34
155.2,271,39
164.8,272,41
188.6,266,38
161.4,267,40
184.0,273,41
118.6,264,41
122.8,272,40
104.4,202,41
84.8,109,39
90.4,138,41
92.0,124,39
103.0,189,40
102.0,139,39
99.8,128,40
130.4,271,40
117.2,262,40
177.6,283,41
95.0,151,40
133.4,271,41
170.0,286,41
186.6,274,39
125.4,275,40
124.6,251,40
158.8,261,88
138.2,269,39
102.8,151,41
150.2,282,42
135.0,266,42
89.0,151,28
128.4,275,39
184.6,233,113
132.0,283,39
135.8,272,63
116.8,179,39
154.0,271,41
130.6,263,41
120.6,247,41
175.0,274,40
85.0,115,38
194.4,278,101
182.6,264,40
184.0,283,113
133.0,282,39
165.6,279,40
189.0,298,111
158.2,274,40
96.6,140,40
184.0,284,113
125.4,267,39
184.8,283,114
213.6,287,101
214.2,294,42
165.8,283,40
111.2,162,40
181.6,299,40
175.6,306,40
124.4,281,38
278.6,300,255
220.4,282,135
173.6,283,92
136.0,266,41
181.6,291,89
163.4,283,39
186.6,279,42
255.8,306,133
198.0,283,40
226.6,306,120
177.2,281,40
211.4,283,115
243.4,291,115
255.0,306,135
172.4,283,41
280.6,306,256
265.8,292,230
279.6,306,245
277.6,306,241
274.4,297,234
239.8,305,49
192.8,283,41
200.2,294,41
230.8,294,41
195.8,297,39
169.2,283,38
197.4,284,39
236.0,306,40
200.0,294,40
277.8,305,255
201.4,293,40
229.4,293,41
242.8,292,114
218.6,305,82
199.6,290,42
281.0,304,259
198.8,285,39
132.6,237,42
267.8,299,235
244.8,290,143
278.4,305,245
281.0,298,260
227.8,292,118
281.6,307,261
269.4,305,221
198.2,283,40
280.6,306,261
261.4,304,169
242.2,289,115
279.6,299,253
280.4,306,258
281.6,306,259
224.0,281,39
241.0,287,121
277.2,295,248
280.4,305,255
245.2,292,133
260.8,293,223
244.8,292,115
278.4,295,258
205.2,283,99
240.2,293,113
248.6,307,115
203.0,283,98
278.0,302,254
236.2,289,92
185.2,282,40
275.0,288,254
234.6,297,40
241.4,289,113
255.2,296,156
206.6,306,18
273.6,306,257
277.8,299,255
269.4,305,236
236.6,306,38
233.2,290,40
254.8,294,175
270.8,307,238
263.0,295,183
280.0,305,254
280.8,307,258
281.0,306,260
238.0,289,113
222.0,288,32
281.4,306,256
273.4,287,260
282.0,306,261
282.2,307,261
280.0,307,257
278.4,302,260
282.4,307,260
261.8,307,167
278.2,293,258
277.8,293,258
281.4,307,261
280.8,303,258
279.4,305,259
281.2,306,261
279.8,307,254
280.6,306,260
231.4,291,54
253.8,306,152
280.6,306,259
282.0,306,259
280.4,307,256
279.2,303,260
280.6,305,260
255.2,295,161
281.8,307,260
270.6,304,216
280.8,304,261
279.4,300,258
237.8,294,91
279.4,305,257
279.6,304,255
281.0,306,259
282.4,305,261
282.2,306,259
282.4,305,261
280.6,304,260
267.4,283,256
282.4,306,261
281.0,304,257
280.6,307,258
242.0,306,97
254.6,306,132
282.4,307,260
281.8,305,258
282.0,306,257
282.4,307,260
281.4,305,261
281.8,307,261
281.8,307,261
271.2,305,213
282.6,306,261
282.0,307,261
276.6,307,246
277.0,307,245
273.8,291,257
281.8,307,257
283.0,307,261
282.0,307,257
229.6,307,34
282.8,306,261
265.8,291,228
237.4,306,39
282.2,307,260
175.8,283,28
281.6,306,256
248.6,294,201
282.2,307,259
281.6,306,261
281.8,306,260
281.6,307,260
280.2,302,256
282.0,306,258
279.4,297,257
280.0,298,259
281.4,307,258
281.8,304,260
281.8,306,256
281.6,307,258
270.4,281,260
282.2,307,260
280.0,304,259
250.2,306,114
281.8,307,259
279.6,307,255
281.8,306,260
281.4,307,257
282.4,307,261
234.4,306,56
282.2,305,260
235.6,307,61
261.2,307,169
279.6,307,246
280.6,307,261
281.8,305,261
281.8,306,259
282.2,307,261
280.2,297,257
257.0,307,132
282.4,307,259
281.6,307,260
280.0,306,259
282.2,306,260
282.2,307,261
281.4,307,258
188.2,283,114
281.8,306,260
282.8,307,260
282.2,307,258
280.6,307,256
282.0,306,260
236.0,306,61
280.6,300,260
281.6,307,260
252.8,307,151
282.2,307,257
225.4,294,27
282.2,307,258
282.0,307,256
266.4,307,214
281.4,306,259
282.6,307,261
281.4,307,256
282.0,304,261
281.4,304,261
276.0,305,240
282.6,307,260
282.4,307,260
280.6,295,261
251.0,307,113
280.6,303,260
280.2,304,260
281.0,307,256
283.0,307,261
281.0,305,261
202.6,293,36
280.8,304,260
275.4,307,256
281.6,305,261
281.6,307,257
281.8,307,260
281.4,307,259
244.0,307,90
282.0,307,261
281.6,306,260
281.6,307,257
229.6,307,28
281.8,307,255
244.6,293,118
282.2,307,257
282.0,307,257
281.8,306,261
282.6,307,260
282.2,307,257
282.4,307,259
282.2,307,261
281.4,307,257
283.0,307,261
256.0,294,174
282.4,307,260
281.8,307,257
281.8,305,259
283.0,307,261
282.6,307,261
282.8,307,261
225.8,293,25
249.0,306,118
282.2,307,260
282.2,307,261
278.2,307,246
282.8,307,261
281.6,307,256
221.0,307,62
282.6,307,260
280.6,307,261
226.6,306,35
282.4,306,261
281.8,307,261
282.8,307,261
243.2,307,174
281.4,306,256
282.6,307,259
282.0,307,260
241.4,307,84
279.8,307,261
280.2,307,261
283.0,307,261
281.4,306,257
282.6,307,261
243.2,307,97
267.2,307,191
282.0,306,260
282.0,306,260
281.8,307,259
229.6,307,45
282.2,304,261
256.2,292,175
282.6,307,261
251.2,307,114
275.6,307,234
267.8,306,229
280.4,306,261
263.8,293,213
278.4,307,238
282.4,305,260
281.2,307,260
283.0,307,261
244.4,306,106
280.6,300,260
282.4,307,261
272.4,294,247
282.6,307,261
282.2,307,258
276.6,307,257
281.8,304,260
236.0,306,60
281.8,303,259
277.0,306,245
251.6,307,114
281.6,304,259
226.0,293,24
282.0,306,261
282.0,307,261
258.4,307,163
258.6,307,162
282.0,306,260
281.8,307,259
282.4,307,258
282.4,307,258
279.4,307,246
250.8,307,115
282.8,307,260
282.8,307,261
282.6,306,260
281.8,307,259
282.0,307,261
282.4,307,261
282.8,306,261
222.6,307,112
245.8,307,115
250.0,307,114
282.2,307,259
282.6,306,261
282.6,306,261
251.6,307,115
282.0,307,259
268.2,281,258
245.0,306,105
282.8,307,260
282.2,307,257
282.0,305,261
281.4,307,253
282.8,307,260
283.0,307,261
230.0,307,24
281.2,307,259
282.0,307,258
258.2,307,161
281.8,307,258
282.4,307,261
266.8,304,223
244.8,306,109
277.0,306,244
252.0,307,182
257.4,307,160
282.6,307,260
282.8,307,260
257.4,307,163
225.8,292,29
282.8,307,261
281.8,307,261
258.6,291,213
251.0,307,114
282.2,307,260
283.0,307,261
282.8,307,260
248.6,307,119
282.0,306,260
282.2,307,257
282.2,307,261
282.2,307,257
280.4,307,259
282.6,307,260
282.0,305,260
282.6,307,261
282.2,307,260
248.4,307,116
278.0,307,241
281.6,307,258
282.4,307,259
282.8,307,261
281.2,298,261
281.8,307,257
282.6,307,259
281.4,305,259
281.4,305,258
282.6,306,261
228.6,307,23
282.2,306,259
282.8,307,261
236.2,294,73
240.6,292,101
281.8,307,258
228.0,306,28
132.8,282,24
252.6,307,143
278.6,307,239
265.6,303,219
282.6,307,259
280.4,307,257
281.8,307,261
282.8,307,260
282.8,307,260
231.2,307,28
281.2,307,260
282.2,306,261
283.0,307,261
282.6,307,259
250.4,307,110
282.2,303,261
282.6,307,259
274.6,294,260
281.2,307,257
221.4,301,114
227.8,307,27
282.8,307,261
276.4,307,256
281.4,304,258
281.0,301,260
281.4,307,260
241.8,294,101
281.8,306,259
281.8,307,257
278.0,307,246
243.4,306,98
228.0,294,26
282.8,307,260
282.6,307,261
280.8,307,258
282.2,307,260
281.8,306,260
282.4,307,259
228.0,307,27
282.6,307,260
277.6,306,246
197.4,307,25
197.4,294,38
276.0,294,261
257.4,307,161
282.6,306,261
282.8,307,260
282.8,307,261
282.2,307,260
281.6,307,261
280.6,307,249
202.0,294,27
258.4,307,162
281.0,307,260
282.6,307,259
252.6,306,144
226.8,307,27
282.6,307,260
212.4,283,50
282.0,306,260
282.4,307,258
282.6,307,261
283.0,307,261
249.0,307,102
232.6,307,44
237.6,293,115
282.0,307,261
283.0,307,261
281.8,301,261
235.4,307,56
258.6,307,161
282.8,307,260
282.2,307,260
233.4,307,24
282.4,306,260
226.0,294,27
241.4,305,75
248.2,294,116
282.6,307,261
276.4,307,241
283.0,307,261
279.8,307,255
281.6,307,259
243.2,306,98
231.4,307,28
282.8,307,260
282.6,306,261
282.8,306,261
282.0,306,259
224.0,307,31
282.2,305,260
251.2,307,115
281.6,307,257
282.6,306,261
280.8,299,259
241.6,294,102
282.8,307,261
279.4,307,254
282.6,306,260
282.2,304,261
281.2,306,260
282.4,307,261
282.8,306,261
279.0,306,261
281.6,307,256
282.6,307,260
241.8,294,101
239.6,307,48
270.8,307,236
250.8,303,116
282.4,307,261
265.2,306,213
241.4,294,101
282.8,307,261
281.4,305,259
280.6,301,259
282.8,307,260
283.0,307,261
281.8,307,260
280.6,296,261
233.6,306,27
282.4,307,259
282.6,307,261
282.2,305,261
282.4,306,261
282.6,307,260
282.6,307,261
226.4,293,26
228.8,306,25
283.0,307,261
282.0,306,261
282.2,307,260
281.6,307,261
281.4,307,261
280.0,305,259
280.6,305,258
278.2,303,245
243.0,307,99
212.6,306,99
223.4,294,117
242.2,293,113
282.6,307,261
281.8,304,259
282.8,306,261
281.4,302,260
281.2,305,261
281.6,307,261
252.2,306,145
246.2,306,79
282.8,307,260
275.8,304,247
234.2,301,57
281.8,307,261
283.0,307,261
276.6,306,241
228.0,304,26
251.8,307,116
282.6,306,260
282.4,307,259
282.6,306,260
282.4,307,258
282.2,307,261
252.4,306,143
281.8,307,259
281.8,307,261
282.0,306,261
265.0,302,193
281.0,305,258
282.2,307,258
282.8,307,261
281.0,307,258
282.8,307,260
282.4,306,261
283.0,307,261
281.4,307,258
282.8,307,261
282.6,307,260
245.4,307,108
224.8,292,26
282.2,306,261
250.6,305,116
261.8,307,162
282.0,306,260
226.6,294,26
282.6,307,260
282.4,307,261
278.8,307,241
185.2,305,32
230.8,304,42
198.0,307,25
266.6,307,188
274.8,305,234
239.8,283,108
276.2,294,251
