mean,max,min
92.8,111,39
86.4,113,39
93.8,112,39
91.2,113,40
93.8,113,39
70.6,109,30
93.2,112,39
85.6,110,40
93.4,113,40
92.6,114,39
85.2,115,39
91.4,114,38
85.2,111,38
93.4,111,40
94.6,113,39
87.6,114,39
80.4,111,38
56.4,111,37
94.8,112,43
95.2,114,43
96.6,118,43
94.6,113,40
109.4,121,99
94.4,112,39
113.8,124,98
94.2,114,36
110.0,116,97
93.6,113,41
93.8,112,44
94.2,112,45
95.4,112,45
94.8,112,42
93.4,112,37
95.0,113,43
100.4,150,37
94.0,112,41
101.8,158,37
94.4,116,35
93.6,113,38
92.4,111,36
95.0,112,48
94.0,112,40
94.4,111,44
94.6,112,42
92.0,112,27
95.4,115,41
92.6,111,37
92.2,111,38
94.2,113,40
92.4,112,30
92.6,111,37
92.6,113,37
95.4,112,47
95.6,111,51
93.0,111,39
93.8,112,39
91.2,110,39
92.6,112,36
93.6,112,38
93.2,112,38
93.8,112,38
92.4,111,38
90.8,111,39
94.0,112,40
99.8,227,38
92.8,112,38
89.8,114,38
93.6,112,38
97.4,132,38
93.6,111,39
103.6,112,88
86.4,113,45
115.2,168,90
101.0,120,68
97.6,131,40
102.0,162,34
92.4,111,38
83.4,134,38
92.4,109,44
93.2,111,39
90.2,111,44
133.4,188,43
105.6,152,40
110.4,118,96
112.2,129,97
94.2,113,38
93.8,113,40
114.4,202,39
93.0,110,40
128.0,227,94
114.4,139,97
106.6,116,94
121.4,255,39
94.0,112,40
95.8,115,42
107.2,112,97
127.0,210,95
93.8,113,39
95.4,114,43
119.0,241,38
93.4,113,38
93.8,113,39
94.0,113,40
93.4,115,36
93.6,111,44
107.4,113,92
94.0,112,40
151.8,222,97
151.4,244,40
94.2,116,38
94.6,114,39
93.8,115,37
114.4,208,39
94.4,114,37
94.6,114,40
105.2,116,89
107.4,128,87
92.8,114,31
95.0,116,39
94.6,116,34
95.2,115,37
94.6,114,38
94.4,115,34
95.0,115,38
98.2,129,38
95.0,113,39
94.8,114,39
93.4,114,39
96.0,116,39
95.0,114,39
96.2,117,39
94.8,115,39
94.6,113,39
94.0,115,38
94.6,113,40
78.0,112,30
94.2,114,35
95.0,114,39
94.0,113,38
94.0,114,38
94.6,114,39
77.4,114,28
94.0,115,39
95.6,114,40
96.8,126,36
92.6,114,39
117.6,207,39
93.8,116,38
95.2,116,38
121.4,233,39
98.4,126,40
98.2,126,39
94.6,113,39
94.6,116,39
98.2,128,39
166.4,252,112
105.6,129,76
119.6,231,39
98.2,129,39
110.2,225,40
98.4,125,41
107.2,116,94
